Date,Close,Open,High,Low,Vol.,Change %
03/02/2023,11462.98,11273.77,11487.59,11273.61,950.09M,0.73%
03/01/2023,11379.48,11447.58,11479,11349.87,964.54M,-0.66%
02/28/2023,11455.54,11451.05,11548.22,11435.39,1.26B,-0.10%
02/27/2023,11466.98,11517.19,11565.23,11444.6,874.29M,0.63%
02/24/2023,11394.94,11404.18,11434.36,11334.46,900.84M,-1.69%
02/23/2023,11590.4,11636.93,11638.97,11432.58,903.17M,0.72%
02/22/2023,11507.07,11517.2,11582.52,11445.17,942.98M,0.13%
02/21/2023,11492.3,11640.37,11684.14,11491.18,1.02B,-2.50%
02/17/2023,11787.27,11777.5,11803.22,11673.21,966.30M,-0.58%
02/16/2023,11855.83,11896.31,12040.34,11853.36,986.41M,-1.78%
02/15/2023,12070.59,11905.12,12071.29,11876.82,951.90M,0.92%
02/14/2023,11960.14,11808.2,11999.85,11760.57,929.01M,0.57%
02/13/2023,11891.79,11759.09,11910.92,11719.73,937.01M,1.48%
02/10/2023,11718.12,11714.6,11775.8,11630.54,934.05M,-0.61%
02/09/2023,11789.58,12069.1,12070.96,11745.11,1.03B,-1.02%
02/08/2023,11910.52,12069.12,12096.39,11890.09,953.41M,-1.68%
02/07/2023,12113.79,11891.25,12150.22,11836.78,1.07B,1.90%
02/06/2023,11887.45,11904.41,11973.41,11843.49,1.01B,-1.00%
02/03/2023,12006.96,11946.86,12231.31,11946.86,1.11B,-1.59%
02/02/2023,12200.82,12065.15,12269.55,12024.14,1.33B,3.25%
02/01/2023,11816.32,11573.14,11904.02,11500.33,1.21B,2.00%
01/31/2023,11584.55,11398.58,11586.01,11398.37,1.15B,1.67%
01/30/2023,11393.81,11512.34,11553.31,11388.54,954.43M,-1.96%
01/27/2023,11621.71,11470.47,11691.89,11470.27,1.05B,0.95%
01/26/2023,11512.41,11458.41,11516.05,11341.19,992.60M,1.76%
01/25/2023,11313.36,11146.53,11334.22,11069.17,924.72M,-0.18%
01/24/2023,11334.27,11302.93,11378.15,11282.65,914.95M,-0.27%
01/23/2023,11364.41,11171.94,11405.5,11144.03,1.05B,2.01%
01/20/2023,11140.43,10924.66,11143.17,10885.64,1.16B,2.66%
01/19/2023,10852.27,10890.4,10932.52,10804.57,905.21M,-0.96%
01/18/2023,10957.01,11170.95,11223.41,10952.05,986.97M,-1.24%
01/17/2023,11095.11,11070,11145.44,11024.72,990.06M,0.14%
01/13/2023,11079.16,10906.37,11084.01,10900.16,919.66M,0.71%
01/12/2023,11001.11,10969.26,11027.75,10797.12,1.03B,0.64%
01/11/2023,10931.67,10794.99,10932.44,10762.73,1.01B,1.76%
01/10/2023,10742.63,10607.72,10743.67,10589.59,888.70M,1.01%
01/09/2023,10635.65,10662.11,10807.26,10619.12,1.04B,0.63%
01/06/2023,10569.29,10363.96,10604.14,10265.04,970.67M,2.56%
01/05/2023,10305.24,10390.31,10393.22,10295.25,957.48M,-1.47%
