Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
05.12.2023,16533.11,"16.405,14","16.551,34","16.394,02","63,92M","0,78%"
04.12.2023,16404.76,"16.390,17","16.455,68","16.386,80","52,15M","0,04%"
01.12.2023,16397.52,"16.296,92","16.399,06","16.279,45","68,14M","1,12%"
30.11.2023,16215.43,"16.204,74","16.262,96","16.169,11","108,53M","0,30%"
29.11.2023,16166.45,"16.013,16","16.208,97","16.010,48","69,37M","1,09%"
28.11.2023,15992.67,"15.939,19","15.993,42","15.915,40","60,60M","0,16%"
27.11.2023,15966.37,"16.007,26","16.039,42","15.957,96","50,57M","-0,39%"
24.11.2023,16029.49,"15.988,19","16.041,17","15.972,67","46,23M","0,22%"
23.11.2023,15994.73,"15.976,62","16.005,45","15.958,06","38,72M","0,23%"
22.11.2023,15957.82,"15.965,13","15.998,41","15.931,74","58,76M","0,36%"
21.11.2023,15900.53,"15.911,02","15.948,07","15.891,31","70,93M","-0,01%"
20.11.2023,15901.33,"15.915,24","15.929,93","15.854,82","93,61M","-0,11%"
17.11.2023,15919.16,"15.828,78","15.952,45","15.826,67","81,13M","0,84%"
16.11.2023,15786.61,"15.806,91","15.862,09","15.783,51","68,44M","0,24%"
15.11.2023,15748.17,"15.631,67","15.759,84","15.628,19","91,67M","0,86%"
14.11.2023,15614.43,"15.358,59","15.632,44","15.337,60","98,89M","1,76%"
13.11.2023,15345,"15.285,12","15.346,79","15.252,27","65,17M","0,73%"
10.11.2023,15234.39,"15.296,58","15.309,52","15.171,58","77,01M","-0,77%"
09.11.2023,15352.54,"15.246,50","15.364,49","15.212,99","68,38M","0,81%"
08.11.2023,15229.6,"15.093,48","15.287,73","15.086,41","107,59M","0,51%"
07.11.2023,15152.64,"15.084,79","15.194,53","15.068,25","62,05M","0,11%"
06.11.2023,15135.97,"15.219,32","15.223,41","15.110,84","59,21M","-0,35%"
03.11.2023,15189.25,"15.203,80","15.269,50","15.149,72","93,60M","0,30%"
02.11.2023,15143.6,"15.033,65","15.202,43","15.028,03","89,45M","1,48%"
01.11.2023,14923.27,"14.851,96","14.949,58","14.786,32","63,59M","0,76%"
31.10.2023,14810.34,"14.741,44","14.829,62","14.722,38","75,37M","0,64%"
30.10.2023,14716.54,"14.770,95","14.798,00","14.678,73","76,18M","0,20%"
27.10.2023,14687.41,"14.757,11","14.824,29","14.667,37","86,54M","-0,30%"
26.10.2023,14731.05,"14.696,22","14.795,41","14.655,08","121,80M","-1,08%"
25.10.2023,14892.18,"14.870,63","14.933,69","14.789,63","88,09M","0,08%"
24.10.2023,14879.94,"14.802,52","14.916,60","14.750,32","62,02M","0,54%"
23.10.2023,14800.72,"14.823,03","14.838,01","14.630,21","61,26M","0,02%"
20.10.2023,14798.47,"14.872,02","14.936,49","14.798,47","90,64M","-1,64%"
19.10.2023,15045.23,"15.060,65","15.104,37","14.984,59","69,92M","-0,33%"
18.10.2023,15094.91,"15.244,05","15.271,15","15.081,69","62,49M","-1,03%"
17.10.2023,15251.69,"15.211,29","15.288,32","15.117,24","49,44M","0,09%"
16.10.2023,15237.99,"15.219,42","15.271,51","15.103,12","55,50M","0,34%"
13.10.2023,15186.66,"15.400,09","15.409,89","15.178,07","63,24M","-1,55%"
12.10.2023,15425.03,"15.537,87","15.575,28","15.413,20","52,45M","-0,23%"
11.10.2023,15460.01,"15.366,78","15.486,11","15.361,74","65,78M","0,24%"
10.10.2023,15423.52,"15.272,57","15.443,45","15.272,57","62,64M","1,95%"
09.10.2023,15128.11,"15.143,29","15.201,06","15.077,66","52,47M","-0,67%"
06.10.2023,15229.77,"15.109,16","15.230,89","15.033,55","65,53M","1,06%"
05.10.2023,15070.22,"15.113,94","15.157,70","15.048,42","47,65M","-0,20%"
04.10.2023,15099.92,"14.979,81","15.174,63","14.948,08","75,01M","0,10%"
03.10.2023,15085.21,"15.184,49","15.257,86","15.074,85","64,88M","-1,06%"
02.10.2023,15247.21,"15.439,96","15.476,38","15.192,01","61,42M","-0,91%"
29.09.2023,15386.58,"15.394,82","15.515,99","15.382,56","110,12M","0,41%"
28.09.2023,15323.5,"15.229,10","15.323,73","15.138,66","60,12M","0,70%"
27.09.2023,15217.45,"15.225,58","15.299,68","15.194,68","72,32M","-0,25%"
26.09.2023,15255.87,"15.330,91","15.360,43","15.229,35","69,66M","-0,97%"
25.09.2023,15405.49,"15.513,32","15.572,14","15.329,40","64,52M","-0,98%"
22.09.2023,15557.29,"15.473,80","15.592,27","15.471,75","70,20M","-0,09%"
21.09.2023,15571.86,"15.650,98","15.696,66","15.548,69","66,00M","-1,33%"
20.09.2023,15781.59,"15.703,09","15.810,36","15.699,34","54,73M","0,75%"
